リアルタイムダム諸量一覧表
水系名,吉野川
河川名,吉野川
観測所名,早明浦ダム（機構）
観測所記号,1368080700010
#
#年月日,時刻,流域平均雨量,流域平均雨量属性,貯水量,貯水量属性,流入量,流入量属性,放流量,放流量属性,貯水率,貯水率属性
#属性　$:欠測 -:未受信
#
2026/06/01,00:10,0.0, ,153690, ,14.38, ,36.30, ,0.0,-
2026/06/01,00:20,0.0, ,153640, ,16.32, ,36.10, ,0.0,-
2026/06/01,00:30,0.0, ,153640, ,14.38, ,35.90, ,0.0,-
2026/06/01,00:40,0.0, ,153640, ,14.84, ,36.50, ,0.0,-
2026/06/01,00:50,0.0, ,153640, ,17.73, ,36.80, ,0.0,-
2026/06/01,01:00,0.0, ,153590, ,17.24, ,36.90, ,92.6, 
2026/06/01,01:10,0.0, ,153590, ,14.78, ,34.20, ,0.0,-
2026/06/01,01:20,0.0, ,153590, ,13.51, ,33.80, ,0.0,-
2026/06/01,01:30,0.0, ,153530, ,15.58, ,33.60, ,0.0,-
2026/06/01,01:40,0.0, ,153530, ,13.72, ,33.70, ,0.0,-
2026/06/01,01:50,0.0, ,153530, ,10.57, ,33.70, ,0.0,-
2026/06/01,02:00,0.0, ,153530, ,11.45, ,34.00, ,92.6, 
2026/06/01,02:10,0.0, ,153480, ,13.24, ,33.80, ,0.0,-
2026/06/01,02:20,0.0, ,153480, ,11.90, ,34.00, ,0.0,-
2026/06/01,02:30,0.0, ,153480, ,9.65, ,34.10, ,0.0,-
2026/06/01,02:40,0.0, ,153430, ,11.11, ,34.10, ,0.0,-
2026/06/01,02:50,0.0, ,153430, ,10.96, ,34.40, ,0.0,-
2026/06/01,03:00,0.0, ,153430, ,8.97, ,34.10, ,92.5, 
2026/06/01,03:10,0.0, ,153380, ,5.60, ,33.90, ,0.0,-
2026/06/01,03:20,0.0, ,153380, ,5.64, ,33.90, ,0.0,-
2026/06/01,03:30,0.0, ,153380, ,5.43, ,33.90, ,0.0,-
2026/06/01,03:40,0.0, ,153380, ,4.47, ,33.70, ,0.0,-
2026/06/01,03:50,0.0, ,153320, ,4.47, ,33.90, ,0.0,-
2026/06/01,04:00,0.0, ,153320, ,4.44, ,33.90, ,92.5, 
2026/06/01,04:10,0.0, ,153320, ,7.06, ,33.80, ,0.0,-
2026/06/01,04:20,0.0, ,153270, ,7.51, ,33.90, ,0.0,-
2026/06/01,04:30,0.0, ,153270, ,7.48, ,34.00, ,0.0,-
2026/06/01,04:40,0.0, ,153270, ,6.73, ,34.10, ,0.0,-
2026/06/01,04:50,0.0, ,153220, ,8.17, ,33.70, ,0.0,-
2026/06/01,05:00,0.0, ,153220, ,8.17, ,33.90, ,92.5, 
2026/06/01,05:10,0.0, ,153220, ,6.03, ,36.10, ,0.0,-
2026/06/01,05:20,0.0, ,153170, ,5.17, ,36.10, ,0.0,-
