îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2026/5/9,01:00,0.0, ,179550, ,19.33, ,29.70, ,100.0, 
2026/5/9,02:00,0.0, ,179490, ,24.29, ,27.60, ,100.0, 
2026/5/9,03:00,0.0, ,179490, ,17.65, ,27.10, ,100.0, 
2026/5/9,04:00,0.0, ,179430, ,13.69, ,27.50, ,99.9, 
2026/5/9,05:00,0.0, ,179380, ,11.60, ,27.30, ,99.9, 
2026/5/9,06:00,0.0, ,179320, ,10.98, ,27.40, ,99.9, 
2026/5/9,07:00,0.0, ,179260, ,11.51, ,27.50, ,99.8, 
2026/5/9,08:00,0.0, ,179200, ,11.61, ,27.20, ,99.8, 
2026/5/9,09:00,0.0, ,179150, ,9.21, ,27.40, ,99.8, 
2026/5/9,10:00,0.0, ,179090, ,20.56, ,27.50, ,99.7, 
2026/5/9,11:00,0.0, ,179090, ,16.62, ,27.50, ,99.7, 
2026/5/9,12:00,0.0, ,179030, ,17.09, ,27.10, ,99.7, 
2026/5/9,13:00,0.0, ,179030, ,21.39, ,27.50, ,99.7, 
2026/5/9,14:00,0.0, ,178980, ,13.68, ,27.40, ,99.7, 
2026/5/9,15:00,0.0, ,178980, ,25.59, ,27.20, ,99.7, 
2026/5/9,16:00,0.0, ,178920, ,16.85, ,36.10, ,99.6, 
2026/5/9,17:00,0.0, ,178810, ,14.13, ,49.60, ,99.6, 
2026/5/9,18:00,0.0, ,178690, ,22.32, ,59.70, ,99.5, 
2026/5/9,19:00,0.0, ,178520, ,20.66, ,59.70, ,99.4, 
2026/5/9,20:00,0.0, ,178410, ,19.62, ,59.60, ,99.3, 
2026/5/9,21:00,0.0, ,178290, ,22.52, ,59.70, ,99.2, 
