任意期間ダム諸量検索結果
水系名,吉野川
河川名,吉野川
観測所名,早明浦ダム（機構）
観測所記号,1368080700010
#
#年月日,時刻,流域平均雨量,流域平均雨量属性,貯水量,貯水量属性,流入量,流入量属性,放流量,放流量属性,貯水率,貯水率属性
#属性　$:欠測 -:未受信
#
2015/12/28,22:00,0.0, ,157280, ,13.94, ,63.00, ,100.0, 
2015/12/28,23:00,0.0, ,157070, ,15.70, ,62.80, ,100.0, 
2015/12/29,01:00,0.0, ,156750, ,13.86, ,62.80, ,100.0, 
2015/12/29,02:00,0.0, ,156540, ,13.67, ,61.40, ,100.0, 
2015/12/29,03:00,0.0, ,156380, ,10.10, ,61.60, ,100.0, 
2015/12/29,04:00,0.0, ,156160, ,7.14, ,63.10, ,100.0, 
2015/12/29,05:00,0.0, ,155950, ,6.15, ,63.10, ,100.0, 
2015/12/29,06:00,0.0, ,155740, ,6.94, ,63.00, ,100.0, 
2015/12/29,07:00,0.0, ,155580, ,7.76, ,62.80, ,100.0, 
2015/12/29,08:00,0.0, ,155320, ,7.20, ,63.10, ,100.0, 
2015/12/29,09:00,0.0, ,155160, ,5.06, ,62.90, ,100.0, 
2015/12/29,10:00,0.0, ,154950, ,9.36, ,61.60, ,100.0, 
2015/12/29,11:00,0.0, ,154790, ,14.22, ,63.00, ,100.0, 
2015/12/29,12:00,0.0, ,154630, ,12.85, ,62.80, ,100.0, 
2015/12/29,13:00,0.0, ,154420, ,14.86, ,63.20, ,100.0, 
2015/12/29,14:00,0.0, ,154270, ,14.26, ,62.90, ,100.0, 
2015/12/29,15:00,0.0, ,154060, ,13.44, ,63.00, ,100.0, 
2015/12/29,16:00,0.0, ,153900, ,15.27, ,63.20, ,100.0, 
2015/12/29,17:00,0.0, ,153740, ,14.16, ,63.00, ,100.0, 
2015/12/29,19:00,0.0, ,153380, ,13.56, ,63.00, ,100.0, 
2015/12/29,20:00,0.0, ,153220, ,15.34, ,62.10, ,100.0, 
2015/12/29,21:00,0.0, ,153060, ,15.28, ,63.20, ,100.0, 
2015/12/29,22:00,0.0, ,152850, ,13.57, ,63.20, ,100.0, 
2015/12/30,01:00,0.0, ,152330, ,13.40, ,63.00, ,100.0, 
2015/12/30,02:00,0.0, ,152180, ,13.77, ,62.20, ,100.0, 
2015/12/30,03:00,0.0, ,151970, ,7.66, ,62.10, ,100.0, 
2015/12/30,04:00,0.0, ,151760, ,9.09, ,63.00, ,100.0, 
2015/12/30,05:00,0.0, ,151550, ,6.52, ,63.00, ,100.0, 
2015/12/30,06:00,0.0, ,151350, ,6.21, ,63.10, ,100.0, 
2015/12/30,07:00,0.0, ,151140, ,6.73, ,63.00, ,100.0, 
2015/12/30,08:00,0.0, ,150930, ,6.20, ,63.10, ,100.0, 
2015/12/30,09:00,0.0, ,150720, ,6.35, ,63.10, ,100.0, 
2015/12/30,10:00,0.0, ,150570, ,8.27, ,63.10, ,100.0, 
2015/12/30,11:00,0.0, ,150360, ,14.05, ,63.10, ,100.0, 
2015/12/30,12:00,0.0, ,150210, ,14.27, ,63.20, ,100.0, 
2015/12/30,13:00,0.0, ,150000, ,15.00, ,63.20, ,100.0, 
2015/12/30,14:00,0.0, ,149840, ,13.60, ,63.20, ,100.0, 
2015/12/30,15:00,0.0, ,149690, ,15.30, ,63.20, ,100.0, 
2015/12/30,16:00,0.0, ,149480, ,14.81, ,63.10, ,100.0, 
2015/12/30,18:00,0.0, ,149170, ,16.32, ,63.10, ,100.0, 
2015/12/30,19:00,0.0, ,148970, ,13.00, ,63.20, ,100.0, 
2015/12/30,20:00,0.0, ,148810, ,14.70, ,63.10, ,100.0, 
2015/12/30,22:00,0.0, ,148450, ,13.51, ,63.00, ,100.0, 
2015/12/30,23:00,0.0, ,148250, ,14.70, ,63.20, ,100.0, 
2015/12/31,01:00,0.0, ,147940, ,14.79, ,63.20, ,100.0, 
2015/12/31,02:00,0.0, ,147730, ,11.51, ,61.40, ,100.0, 
2015/12/31,03:00,0.0, ,147530, ,9.80, ,61.40, ,100.0, 
2015/12/31,04:00,0.0, ,147320, ,9.56, ,61.60, ,100.0, 
2015/12/31,05:00,0.0, ,147120, ,6.93, ,63.00, ,100.0, 
2015/12/31,06:00,0.0, ,146910, ,5.10, ,63.20, ,100.0, 
2015/12/31,07:00,0.0, ,146710, ,5.12, ,63.20, ,100.0, 
2015/12/31,08:00,0.0, ,146510, ,6.49, ,63.10, ,100.0, 
2015/12/31,09:00,0.0, ,146300, ,5.50, ,61.50, ,100.0, 
2015/12/31,10:00,0.0, ,146100, ,6.77, ,63.00, ,100.0, 
2015/12/31,11:00,0.0, ,145940, ,15.35, ,63.00, ,100.0, 
2015/12/31,12:00,0.0, ,145790, ,14.59, ,61.60, ,100.0, 
2015/12/31,13:00,0.0, ,145590, ,19.01, ,63.00, ,100.0, 
2015/12/31,14:00,0.0, ,145430, ,10.83, ,63.10, ,100.0, 
2015/12/31,15:00,0.0, ,145230, ,13.11, ,63.10, ,100.0, 
2015/12/31,16:00,0.0, ,145080, ,16.20, ,61.80, ,100.0, 
2015/12/31,17:00,0.0, ,144880, ,10.05, ,62.90, ,100.0, 
2015/12/31,18:00,0.0, ,144720, ,14.96, ,63.00, ,100.0, 
2015/12/31,19:00,0.0, ,144520, ,11.41, ,61.70, ,100.0, 
2015/12/31,20:00,0.0, ,144370, ,16.59, ,63.20, ,100.0, 
2015/12/31,21:00,0.1, ,144170, ,14.39, ,63.20, ,100.0, 
2015/12/31,22:00,0.1, ,144020, ,13.50, ,61.90, ,100.0, 
2015/12/31,23:00,0.0, ,143810, ,9.53, ,63.10, ,100.0, 
2015/12/31,24:00,0.0, ,143660, ,15.86, ,60.60, ,100.0, 
