îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2023/3/1,01:00,0.0, ,109140, ,7.31, ,0.00, ,70.3, 
2023/3/1,02:00,0.0, ,109190, ,7.11, ,0.00, ,70.4, 
2023/3/1,03:00,0.0, ,109190, ,5.08, ,0.00, ,70.3, 
2023/3/1,04:00,0.0, ,109230, ,9.35, ,0.00, ,70.3, 
2023/3/1,05:00,0.0, ,109280, ,5.28, ,0.00, ,70.4, 
2023/3/1,06:00,0.0, ,109280, ,9.77, ,14.90, ,70.3, 
2023/3/1,07:00,0.0, ,109280, ,14.39, ,27.60, ,70.3, 
2023/3/1,08:00,0.0, ,109190, ,16.12, ,22.70, ,70.2, 
2023/3/1,09:00,0.0, ,109190, ,0.33, ,0.00, ,70.2, 
2023/3/1,10:00,0.0, ,109190, ,0.00, ,0.00, ,70.2, 
2023/3/1,11:00,0.0, ,109230, ,3.86, ,0.00, ,70.2, 
2023/3/1,12:00,0.0, ,109230, ,8.33, ,0.00, ,70.1, 
2023/3/1,13:00,0.0, ,109280, ,5.49, ,0.00, ,70.2, 
2023/3/1,14:00,0.0, ,109280, ,6.70, ,0.00, ,70.1, 
2023/3/1,15:00,0.0, ,109280, ,0.00, ,0.00, ,70.1, 
2023/3/1,16:00,0.0, ,109320, ,1.24, ,17.60, ,70.1, 
2023/3/1,17:00,0.0, ,109230, ,14.22, ,45.70, ,70.0, 
2023/3/1,18:00,0.0, ,109060, ,7.30, ,56.00, ,69.8, 
2023/3/1,19:00,0.0, ,108840, ,0.78, ,58.40, ,69.6, 
2023/3/1,20:00,0.0, ,108660, ,2.67, ,46.20, ,69.4, 
2023/3/1,21:00,0.0, ,108530, ,2.69, ,23.90, ,69.3, 
2023/3/1,22:00,0.8, ,108530, ,0.00, ,0.00, ,69.3, 
2023/3/1,23:00,0.9, ,108530, ,0.00, ,0.00, ,69.3, 
2023/3/1,24:00,0.6, ,108570, ,5.27, ,0.00, ,69.3, 
2023/3/2,01:00,0.7, ,108620, ,8.71, ,0.00, ,69.3, 
2023/3/2,02:00,0.0, ,108620, ,10.34, ,0.00, ,69.3, 
2023/3/2,03:00,0.0, ,108660, ,9.93, ,0.00, ,69.3, 
