îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2026/7/1,01:00,0.0, ,191430, ,32.78, ,115.44, ,100.0, 
2026/7/1,02:00,0.0, ,191130, ,32.13, ,115.16, ,100.0, 
2026/7/1,03:00,0.0, ,190840, ,33.07, ,114.70, ,100.0, 
2026/7/1,04:00,0.0, ,190720, ,31.74, ,62.06, ,100.0, 
2026/7/1,05:00,1.2, ,190540, ,27.69, ,61.94, ,100.0, 
2026/7/1,06:00,2.9, ,190480, ,30.94, ,61.84, ,100.0, 
2026/7/1,07:00,4.4, ,190360, ,35.01, ,61.82, ,100.0, 
2026/7/1,08:00,1.4, ,190250, ,37.48, ,62.02, ,100.0, 
2026/7/1,09:00,0.7, ,190190, ,30.39, ,62.02, ,100.0, 
2026/7/1,10:00,0.7, ,190070, ,29.74, ,60.50, ,100.0, 
2026/7/1,11:00,3.0, ,189950, ,33.48, ,60.70, ,100.0, 
2026/7/1,12:00,1.5, ,189830, ,32.80, ,60.59, ,100.0, 
2026/7/1,13:00,1.5, ,189770, ,33.86, ,60.49, ,100.0, 
2026/7/1,14:00,1.1, ,189660, ,35.22, ,60.58, ,100.0, 
2026/7/1,15:00,1.0, ,189600, ,35.23, ,60.48, ,100.0, 
2026/7/1,16:00,1.3, ,189480, ,35.75, ,60.58, ,100.0, 
2026/7/1,17:00,0.9, ,189420, ,37.10, ,60.47, ,100.0, 
2026/7/1,18:00,3.0, ,189300, ,33.52, ,60.47, ,100.0, 
2026/7/1,19:00,2.8, ,189250, ,37.66, ,60.57, ,100.0, 
2026/7/1,20:00,3.2, ,189190, ,39.58, ,60.46, ,100.0, 
2026/7/1,21:00,1.0, ,189070, ,41.21, ,60.46, ,100.0, 
2026/7/1,22:00,0.2, ,189010, ,37.96, ,60.46, ,100.0, 
2026/7/1,23:00,0.7, ,188950, ,43.35, ,60.35, ,100.0, 
2026/7/1,24:00,1.2, ,188890, ,46.62, ,60.45, ,100.0, 
2026/7/2,01:00,1.3, ,188830, ,49.03, ,60.45, ,100.0, 
2026/7/2,02:00,4.1, ,188830, ,46.82, ,60.35, ,100.0, 
2026/7/2,03:00,2.0, ,188770, ,51.45, ,60.44, ,100.0, 
2026/7/2,04:00,8.9, ,188720, ,50.04, ,80.14, ,100.0, 
2026/7/2,05:00,11.7, ,188770, ,73.66, ,72.08, ,100.0, 
2026/7/2,06:00,6.3, ,188770, ,91.53, ,71.88, ,100.0, 
2026/7/2,07:00,6.4, ,188950, ,123.44, ,92.64, ,100.0, 
2026/7/2,08:00,2.9, ,189250, ,183.62, ,147.44, ,100.0, 
2026/7/2,09:00,0.1, ,189360, ,191.16, ,147.90, ,100.0, 
2026/7/2,10:00,0.0, ,189480, ,179.03, ,99.03, ,100.0, 
2026/7/2,11:00,0.0, ,189720, ,152.50, ,99.41, ,100.0, 
2026/7/2,12:00,0.0, ,189770, ,133.45, ,79.58, ,100.0, 
2026/7/2,13:00,0.0, ,189890, ,116.25, ,79.65, ,100.0, 
2026/7/2,14:00,0.0, ,189950, ,101.98, ,78.64, ,100.0, 
2026/7/2,15:00,0.0, ,190010, ,90.23, ,78.58, ,100.0, 
2026/7/2,16:00,0.0, ,190010, ,84.51, ,69.57, ,100.0, 
2026/7/2,17:00,0.0, ,190070, ,77.76, ,60.80, ,100.0, 
2026/7/2,18:00,0.0, ,190070, ,72.45, ,60.80, ,100.0, 
2026/7/2,19:00,0.0, ,190130, ,76.13, ,60.80, ,100.0, 
2026/7/2,20:00,0.0, ,190190, ,61.40, ,60.81, ,100.0, 
2026/7/2,21:00,0.0, ,190190, ,71.48, ,60.91, ,100.0, 
2026/7/2,22:00,0.0, ,190190, ,65.77, ,60.71, ,100.0, 
2026/7/2,23:00,0.0, ,190190, ,60.53, ,60.61, ,100.0, 
2026/7/2,24:00,0.0, ,190130, ,59.12, ,60.80, ,100.0, 
2026/7/3,01:00,0.0, ,190130, ,50.38, ,60.60, ,100.0, 
2026/7/3,02:00,0.0, ,190130, ,57.16, ,60.60, ,100.0, 
2026/7/3,03:00,0.0, ,190130, ,60.74, ,60.70, ,100.0, 
2026/7/3,04:00,0.0, ,190070, ,55.53, ,60.37, ,100.0, 
2026/7/3,05:00,0.0, ,190070, ,49.20, ,60.17, ,100.0, 
2026/7/3,06:00,0.0, ,190010, ,59.45, ,60.27, ,100.0, 
2026/7/3,07:00,0.0, ,190010, ,45.72, ,60.07, ,100.0, 
2026/7/3,08:00,0.0, ,189950, ,53.64, ,60.17, ,100.0, 
2026/7/3,09:00,0.0, ,189950, ,49.04, ,60.37, ,100.0, 
2026/7/3,10:00,0.0, ,189890, ,45.56, ,60.26, ,100.0, 
2026/7/3,11:00,0.0, ,189830, ,48.25, ,59.10, ,100.0, 
2026/7/3,12:00,0.0, ,189770, ,47.34, ,59.20, ,100.0, 
2026/7/3,13:00,0.0, ,189720, ,46.97, ,59.20, ,100.0, 
2026/7/3,14:00,0.0, ,189720, ,45.33, ,59.20, ,100.0, 
2026/7/3,15:00,0.0, ,189660, ,45.03, ,59.30, ,100.0, 
2026/7/3,16:00,0.0, ,189600, ,47.50, ,59.30, ,100.0, 
2026/7/3,17:00,0.0, ,189540, ,46.19, ,59.20, ,100.0, 
2026/7/3,18:00,0.0, ,189480, ,40.47, ,59.40, ,100.0, 
2026/7/3,19:00,0.0, ,189420, ,44.60, ,59.30, ,100.0, 
2026/7/3,20:00,0.0, ,189360, ,41.58, ,59.20, ,100.0, 
2026/7/3,21:00,0.0, ,189300, ,42.34, ,59.10, ,100.0, 
2026/7/3,22:00,0.0, ,189250, ,42.30, ,59.10, ,100.0, 
2026/7/3,23:00,0.0, ,189190, ,40.92, ,59.20, ,100.0, 
2026/7/3,24:00,0.0, ,189070, ,39.59, ,59.10, ,100.0, 
2026/7/4,01:00,0.0, ,189010, ,37.96, ,59.00, ,100.0, 
2026/7/4,02:00,0.0, ,188950, ,39.78, ,58.90, ,100.0, 
2026/7/4,03:00,0.0, ,188890, ,42.21, ,59.10, ,100.0, 
2026/7/4,04:00,0.0, ,188830, ,37.38, ,59.20, ,100.0, 
2026/7/4,05:00,0.0, ,188720, ,39.59, ,59.40, ,100.0, 
2026/7/4,06:00,0.1, ,188660, ,38.00, ,59.10, ,100.0, 
2026/7/4,07:00,1.0, ,188600, ,39.23, ,59.10, ,100.0, 
2026/7/4,08:00,0.4, ,188540, ,41.97, ,59.00, ,100.0, 
2026/7/4,09:00,0.9, ,188420, ,35.17, ,59.10, ,100.0, 
2026/7/4,10:00,6.5, ,188420, ,38.72, ,59.20, ,100.0, 
2026/7/4,11:00,5.0, ,188300, ,47.16, ,59.20, ,100.0, 
2026/7/4,12:00,3.7, ,188300, ,46.72, ,59.10, ,100.0, 
2026/7/4,13:00,3.5, ,188300, ,47.12, ,59.10, ,100.0, 
2026/7/4,14:00,0.2, ,188300, ,57.80, ,59.20, ,100.0, 
2026/7/4,15:00,1.0, ,188300, ,61.65, ,59.20, ,100.0, 
2026/7/4,16:00,0.6, ,188300, ,67.88, ,59.30, ,100.0, 
2026/7/4,17:00,0.6, ,188420, ,76.88, ,59.10, ,100.0, 
2026/7/4,18:00,0.3, ,188420, ,74.46, ,59.30, ,100.0, 
2026/7/4,19:00,0.1, ,188480, ,73.15, ,59.30, ,100.0, 
2026/7/4,20:00,1.2, ,188480, ,60.89, ,59.10, ,100.0, 
2026/7/4,21:00,0.9, ,188480, ,60.01, ,59.10, ,100.0, 
2026/7/4,22:00,0.1, ,188480, ,56.68, ,59.10, ,100.0, 
2026/7/4,23:00,0.0, ,188480, ,59.12, ,59.10, ,100.0, 
